,Сумма вознаграждения,Название миссии
3948,800.0,Best Hunter (Вакансия месяца)
25,700.0,Креативный класс
398,600.0,Звезда департамента
1713,600.0,Best Hunter
7,550.0,HiPro
58,550.0,HiPo
67,500.0,Наставник
12873,400.0,Ты провел цикл внутренних обучений
37729,400.0,Победитель Managers' fights
819,350.0,Ты помог нам организовать мероприятие для профессионального коммьюнити
45893,350.0,Ты прошел программу адаптации для аналитиков
71466,300.0,Ментор
40271,300.0,Ты провел внутренний тренинг
15013,300.0,Внутренний спикер
1050,300.0,Ты оказал помощь в подготовке и участвовал в прохождении внешнего аудита
394,250.0,Ты провел внутреннее обучение
74592,200.0,Best Hunter (Вакансия месяца)
79170,200.0,Ты сдал экзамен* на 100%
1236,200.0,Участник Manager's fight
4818,200.0,Ты стал спикером кофе-брейка
3258,200.0,Ты оказал помощь в подготовке к внешнему аудиту
48277,150.0,Ты прислал фактуру для переговорного кейса
2401,150.0,Эксперт Managers' fights
355,150.0,Ты вовремя обновил свои персональные данные - вернул отрывную часть листка сообщения с отметкой военкомата
413,150.0,Ты вовремя обновил свои персональные данные - отправил полученный диплом
18,100.0,Ты вовремя подписал документы по кадровым движениям
52,100.0,Ты добавил свой сертификат в LMS  после прохождения обучения
3980,100.0,"Ты подал идею для проекта ""Идея Квартала"""
242,100.0,Ты обновил свои персональные данные
0,50.0,Ты вовремя списал затраченное время на задачи и проекты
1107,40.0,Ты подал идею в сервис «Идеи КРОК»
47,20.0,Ты оставил качественный отзыв в CROC LMS после прохождения обучения
320,,Миссия Креативный класс
16763,,Тренер
